Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenized,stopwords removal,steming_data,Sentiment
2025-07-10 23:20:14,Pengguna Google,5,praktis,praktis,praktis,praktis,['praktis'],['praktis'],praktis,positif
2025-07-10 23:19:19,Pengguna Google,5,sangat puas pelayanannya kurirnya pun ramah,sangat puas pelayanannya kurirnya pun ramah,sangat puas pelayanannya kurirnya pun ramah,sangat puas pelayanannya kurirnya pun ramah,"['sangat', 'puas', 'pelayanannya', 'kurirnya', 'pun', 'ramah']","['puas', 'pelayanannya', 'kurirnya', 'ramah']",puas layan kurir ramah,positif
2025-07-10 23:19:12,Pengguna Google,1,kurir spx payah ..,kurir spx payah ,kurir spx payah ,kurir spx payah,"['kurir', 'spx', 'payah']","['kurir', 'spx', 'payah']",kurir spx payah,Positif
2025-07-10 23:18:18,Pengguna Google,5,bagus murah murah,bagus murah murah,bagus murah murah,bagus murah murah,"['bagus', 'murah', 'murah']","['bagus', 'murah', 'murah']",bagus murah murah,Negatif
2025-07-10 23:17:16,Pengguna Google,5,sangat bgus,sangat bgus,sangat bgus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus,Positif
2025-07-10 23:16:33,Pengguna Google,5,cepat,cepat,cepat,cepat,['cepat'],['cepat'],cepat,Negatif
2025-07-10 23:15:41,Pengguna Google,5,bagus,bagus,bagus,bagus,['bagus'],['bagus'],bagus,Positif
2025-07-10 23:15:28,Pengguna Google,5,bagus mudah prosesnya,bagus mudah prosesnya,bagus mudah prosesnya,bagus mudah prosesnya,"['bagus', 'mudah', 'prosesnya']","['bagus', 'mudah', 'prosesnya']",bagus mudah proses,positif
2025-07-10 23:12:46,Pengguna Google,5,good,good,good,good,['good'],['good'],good,positif
2025-07-10 23:12:27,Pengguna Google,5,terpercaya,terpercaya,terpercaya,terpercaya,['terpercaya'],['terpercaya'],percaya,positif
2025-07-10 23:12:10,Pengguna Google,5,"sip,mantap",sipmantap,sipmantap,sipmantap,['sipmantap'],['sipmantap'],sipmantap,Negatif
