text,sentiment
aplikasi bagus,negatif
harga murah nguras kantong,positif
mnrut shoppe cpat rim mngalami gagal berbelnjasukses sellu shoppe,negatif
skon harga miring masuk akalsllu grtis ongkir,negatif
baik,Positif
pesan sesuai puas terima kasih shopee,positif
kecewa,Positif
shopee mudah belanja perlu hari,positif
bintang bicara,Positif
ringan hp lancar,Negatif
aplikasi mudah anak kost,negatif
kasih bintang beli produk barang habis aneh terang pmbeli ya siapahrusnya prlihatkan pmbeli flashsale ya,positif
mantap bantu,positif
belanja percaya murah shopee,positif
senang baja shopee semangat,Positif
sebal aplikasi shopee buka aplikasi langsung arah live menggangu,Negatif
belanja mudah hemat uang,Positif
belanja shopee alhamdulillah pokok puas lo aslina,positif
super murah ongkir,Negatif
bintang shopee tokoh jual barang layak gunakang,positif
mohon baharu sample gratis tolong tombol terima barang kali terima barang sistem otomatis terima barang sesuai jadwal sistem shopee batal kembali samplenya,positif
layan bagus cod an kirim cepat kurir ramah pesan sesuai,positif
maaf ya kasih rating kecewa kurir ya ramah gampang marahemang salah ya retur barang marah bilang buang niat beli sok sok an beli barang kurir nganter barang pesan berani pesan barang online gara,negatif
assisten ai ya songong jual baca chat beli duluan jawab maaf tau bla bla bla ya kabur beli toko jawab maaf tau stok oke ai apa sesuai data adatapi bagus tunggu jual balas chat kekkalo balas beli erti jual aktif,positif
download ya,positif
mudah transaksi jualbeli,positif
mudah belanja rumah,positif
suka,Positif
tolong tingkat jasa ya,positif
sangatt guna,positif
min terapin nomor kurir kirim,positif
mending hapus tuh spaylater guna,Negatif
shopee buruk kirim lambat bilang malas tolong shopee kirim reguler cepat,positif
bagus sekaliaku cowok harga hoki banget,positif
aplikasi rekomendasi,negatif
shopee belanja keluarga,Negatif
suka sekli lihat iklan shopee kali kucing lucu joget nyanyi betah lihat suka blanja shopee murah riah promo beli diskon tambah mkasihhhh bantu blanja kbutuhan baby,positif
aplikasi ringan belanja,negatif
rekomendasi,Negatif
aplikasi keren moga depan koin game klaim,positif
aplikasi beli barang mager belanja tipu jadi beli tas tas sesuai tas sekolah tas kerja tolong shopee hilang tipu,positif
retur cepat tanggap,positif
pas buka aplikasi video langsung nyala,positif
shopee dang ekspedisnya lambat anteraja,positif
bantu penuh butuh masyarakat harga murah mudah,Negatif
bantu,Positif
cocok belanja online,Positif
bagus mudah proses,positif
terimakasih kerja keras,positif
aplikasi kayak verivikasi gilir kasih kirim email hoax banget hsl ketja tokped aplikasi gojel driver rugi konsumen buka video iklan sesuai barang beli,negatif
bagus,Positif
baik barang terima sesuai spesifikasi,positif
sukses shopee guna nikmat,positif
cepat murah,Positif
moga amanah sukses,positif
good serviceada garansi kembali barang sesuai mantap,positif
akun paylater ya aktiv ya beku tunggak,positif
aplikasi tolelot buka aplikasi langsung suara video jual aplikasi tutup langsung hilang cari diputarputarkan mohon baik,negatif
loading,Positif
layan,Positif
terima cepat sesuai pesan,positif
pesan batal melulu,negatif
langgan belanja online,positif
belanja onlne nyaman terpercayacukup shopy dhat,positif
kirim,positif
blanja butuh,negatif
kirim cepat barang ya bagus paking aman,positif
mantaf,Negatif
produk bagus sesuai hpnya suka produk kakak layan cepat sekian terima kasih,positif
overall cuman tolong banget kembang aplikasi optimalisasi aplikasi tingkat aplikasi belanja berat game mihoyo notabene game kelas berat segi performa,Positif
terbantubarang susah cari daerah moga sukses,Negatif
aplikasi ya bagus sih,Positif
senang belanja shopee harga jangkau proses kembali cepat proses,positif
mkasih,Positif
shoppe iklanya,Positif
bantu,Negatif
bagus kurang hubung ewalet gopaydana,negatif
aplikasi shopee kesini berat buka aplikasi langsung video susah banget woy sistem maksa orang tonton video buka aplikasi,negatif
mudah beli barang barang bantu,Negatif
ok ongkir,positif
bantu sedia butuh rumah tangga,positif
barang bagus mudah,Positif
shopie belanja online percaya,positif
barang terima sesuai deskripsi bravoo shopee,positif
bantu toko amanah pengirimanjoss,positif
bagus,Negatif
kecewa sih cod an sepele n salah lupa ganti alamat salah alamatpdhl cod an tertib bestie an kuriraini kurir kampung lapor cod anpdhl lupa ganti alamat,negatif
woy shopee iklan kesal banget tiap apk iklan didownload gaes,positif
bagus,Positif
senang belanja dishopee promodan kwalitasnyabagustapi sayang kali barang dikirimdan barang sesuai sayapesan,positif
bagus belanja,Positif
apk bantu,Negatif
keren shopee belanja online baik,Negatif
suka belanja shopee,Negatif
barang ya bagus sesuai pesananpuas banget,positif
ukur,positif
kirim ya cepat aplikasi ya masuk live ngawur nih aplikasi,positif
kecewa pesan kuwalitas puas ya moga lancar shopee,positif
tolong kirim pakai jasa spx mending juta cepata banget mutar mutar lihat nilai spx jelek banget kecewa gue belanja tokopedia cepat barang pakai,positif
shope aplikasi mudah belanja online,negatif
toko murahh ongkirnya,Positif
suka belanja shopee konsumen perhati,Positif
shopee bagus kecewa moga depan ya,positif
aplikasi bantu kejut murah produk kualitas baik,positif
suka sekalikarna belanja mudah hadiah vocer murah,Positif
belanja tidur kumpul bareng teman dishopee,Negatif
bagus aplikasi shopee belanja shope,negatif
spaylater ya,positif
terimkasih shopy,Negatif
barang sesuai gambar,positif
update berat ya ngeleg pakai hp android,positif
mantap,positif
belanja online shopee senang bikin kecewa produk ya kualitas baik jangkau aman bikin kantong bolong,positif
enak langgan pesan shoppe kadang gratis ongkir alhamdulillah amanah terimakasih,positif
layan kirim tanggung estimasi,Positif
terimakasih barang terima sesuai pas,positif
suka suka,Negatif
senang deh pakai shopee harga murah barang ya bagus,positif
harga jangkau layan istimewa,positif
mantab,Negatif
puas pokok pokok belanja shopee harga murah kirim cepat,positif
hai shopee ya paket sistem pencet pesan selesai tolong optimal ya,positif
jual bulat,Negatif
aplikasi bagus murah jamin kualitas ya bagus ongkir ya murahh,positif
kirim cepat pesan kecewa kactamer,positif
jual curang,Positif
aplikasi shoope ngebug,negatif
apk belanja amanah,positif
shoppe bagus,Negatif
kasih bintang cod bilngnya produk sedia sedia alamat,positif
muas,positif
pesan harus ya nyangkut kosambi dc buruk kirim daerah shopee barang ya terima ganti ya perlu buang sia sia shopee buruk buruk,negatif
aplikasi shopee mudah barang dapat terimakasih aplikasi shopee,negatif
mantap,positif
sopie sip belanja mudah,Negatif
lengkap,Positif
alhamdulillah shopee bikin belanja mudah,positif
bantu,Positif
bagus sayang ya pakai spaylater daftar tolak,Negatif
mantaaaaap,Positif
bagus,Negatif
lumayan,Positif
bagus banget kirim man ya cepat,positif
okesih ribet pas aun resmi pakai ktp susah ubah no hape,Positif
shopee mantap deh,positif
kapok kurirkurir spx ya kacau,Positif
good good good tahan,positif
topp,Negatif
puas belanja,positif
coba aplikasi aplikasi menganggu spam iklan muluh,negatif
sopi bagus layan,Positif
login pakai nomor susah lucu nih sophe,negatif
layar top up muncul ganggu,Negatif
tolong toko masalah amanah ajak kerja shoope,positif
oke mantap,positif
isi shope pay saldo masuk dana refund lapor pusat bantu solusi,positif
jossss,Positif
shopee mantapsss,Negatif
nyaman belanja dishopee,positif
puas blanja shopee,positif
langgan minggu paket batal kurir lapor cs shopee tindak tegur kurir paket jugaasli spx sedia jasa profesional sedia jasa abal abal peduli lapor langgan,positif
semenjak shopee jasa kirim jnt kirim barang suka shopee jasa jnt kirim barang cepat,positif
nice good,positif
buruk kirim,Negatif
muas sesuai ekspektasi,positif
cakep,Positif
belanja mudah,Negatif
kirim,positif
mantap shopee,positif
bagus banget aplikasi ya seru,positif
muas murah,positif
bagus belanja pakai voucher murah,positif
bagus pelayananx cepat rapi,Positif
kirim usaha cepat ya ok banget,positif
kurir antar paket sesuai estimasi sih shopee,positif
mudah shoping,Positif
bug menu home menu tolong pegaturan buka shopee home video,Negatif
diskon,positif
syuka sekalee pokok puas sih,positif
sesuai butuh,Negatif
lumayan sih membantutapi sayang banget spaylater susah lolos daftar huhh,negatif
estimasi nya,Negatif
bagus banget aplikasinyaa ribet beli mager hehe praktis murah,Negatif
jangam bilang egk ambil paket kirim sopee baramg ya egk nyampek alamat,positif
keren,Positif
alhmdulilah brng sda sesuai hrpan,positif
kesini lot bug belanja lihat produk susah tambah bintang lot,Positif
muas belanja shoope harga jangkau,positif
manfaat,positif
pokok suka aplikasi ecommerce shope lawan,negatif
sekian kali belanja shopee rekomendasi,Positif
mudah,Positif
bagus,Negatif
ongkir mahal kota sayasdh mahal sampainyaestimasi pakai reguler,positif
salut shopee kirim paket cepat indonesia,positif
aplikasi bantu butuh sukses shopee,negatif
fungsi mesen sajaa,Negatif
puas,positif
bantu proses belanja,positif
belanja shopee muas sukses shopee moga amanah,positif
aplikasi ya bagus,Positif
fitur filter update baru payah mode kategori kadang muncul kadang muncul repot seleksi kategori barang,positif
alhamdulillah paket anak ku senang banget,positif
aplikasi bagusmempermudah belanja,negatif
akurat,Positif
terimakasih apk shopee nyaman guna shopee,positif
belanja mudah murah terima kasih shopee,positif
toko hilang komisi affiliate shopee toko tiktok hilang turun ditiktok komisi affiliate hilang shopee hilang komisi affiliate ya affiliate shopee hasil tiktok affiliate mahal komisi affiliate aman moga shopee toko hilang komisi affiliate kurang,positif
kurir lambat,positif
suka belanja,Positif
suka belanja dishope harga jangkau insyaallah butuh beli dishopesaya repot repot cari lagitinggal klik shope butuh isya allah,negatif
mudah,Negatif
bagus banget gratis ongkir ya,positif
suka hopee,Positif
suka belanja tolo,Negatif
bagus layan cepat amanah cek keranjang kuning,negatif
respon susah ya code verifikasi,positif
shopping is the best shopee,Negatif
belanja shopee jangkau komplit butuh,negatif
belanja,Negatif
ok bagus pasang moga cocok awet respon jual kurir muas terimakasih,positif
cepat efisien,positif
terimah kasih,Negatif
semenjak shoopee kluyuran beli kesana kemari cocok orang mageran,Positif
antar paket malamkasian kurirnyasejauh bagus,positif
